review_id,customer_id,product_id,rating,review_datetime,review_text
1,224,46,4,"2026-01-03 16:58:40","Excellent quality, arrived quickly."
2,105,89,2,"2025-09-08 19:18:40",
3,87,84,4,"2025-08-11 06:10:40","Great product, highly recommend!"
4,110,59,2,"2025-09-05 19:56:40",
5,71,100,4,"2025-09-27 13:18:40","Excellent quality, arrived quickly."
6,42,92,3,"2025-10-17 03:44:40",
7,157,66,2,"2025-10-08 16:53:40",
8,121,98,4,"2025-07-29 08:42:40",
9,178,94,3,"2025-11-25 17:30:40",
10,98,22,3,"2025-08-24 04:32:40",
11,117,31,1,"2025-09-28 10:05:40",
12,105,78,3,"2025-09-24 21:15:40",
13,183,24,4,"2025-12-22 21:35:40","Very satisfied with this purchase."
14,168,88,4,"2025-12-18 07:01:40",
15,175,37,4,"2025-09-09 20:02:40",
16,156,26,3,"2025-12-05 11:18:40","Decent product, does the job."
17,235,99,4,"2025-07-12 18:24:40",
18,40,96,2,"2025-08-30 15:03:40",
19,6,19,3,"2025-08-07 05:11:40","Okay quality, nothing special."
20,122,46,4,"2025-07-13 05:50:40",
21,122,92,3,"2025-12-16 06:10:40",
22,57,87,3,"2025-11-20 13:51:40",
23,59,14,3,"2025-11-05 04:08:40",
24,175,46,3,"2025-12-02 18:16:40",
25,170,9,4,"2025-09-07 04:10:40","Very satisfied with this purchase."
26,141,100,3,"2026-01-02 09:55:40",
27,176,77,1,"2025-10-05 11:41:40",
28,232,86,3,"2025-12-02 02:05:40",
29,166,14,2,"2025-08-08 14:31:40",
30,177,9,4,"2025-11-09 13:44:40","Very satisfied with this purchase."
31,59,46,3,"2025-12-05 03:38:40",
32,74,19,3,"2025-11-16 05:58:40",
33,206,100,2,"2025-08-30 15:01:40","Poor quality, would not recommend."
34,226,22,1,"2025-12-28 14:45:40",
35,219,33,3,"2025-08-11 08:08:40",
36,196,64,2,"2025-10-17 08:33:40",
37,4,15,3,"2025-08-31 05:06:40",
38,140,9,3,"2025-08-13 02:23:40",
39,81,77,2,"2025-11-30 18:51:40",
40,98,10,5,"2025-10-28 13:57:40","Works perfectly as described."
41,207,3,5,"2025-11-21 05:15:40","Very satisfied with this purchase."
42,38,41,2,"2025-07-31 07:09:40","Disappointed with the quality."
43,127,53,3,"2025-10-18 19:39:40",
44,133,30,3,"2025-12-12 04:01:40",
45,130,11,3,"2025-12-02 06:50:40","Okay quality, nothing special."
46,80,33,3,"2025-08-03 17:47:40","Average purchase, met expectations."
47,157,15,4,"2025-10-25 01:29:40",
48,158,47,4,"2025-07-13 13:32:40",
49,232,11,2,"2025-07-29 08:33:40",
50,236,12,4,"2025-07-22 02:48:40",
51,198,94,3,"2025-11-04 01:04:40","Okay quality, nothing special."
52,43,11,3,"2025-09-05 11:49:40",
53,94,82,1,"2025-11-27 21:22:40","Arrived late and damaged."
54,205,58,1,"2025-10-25 10:09:40",
55,19,87,4,"2025-12-28 21:57:40",
56,91,72,3,"2026-01-01 15:01:40",
57,117,40,3,"2025-08-27 07:39:40",
58,224,25,2,"2025-08-06 11:03:40",
59,102,60,4,"2025-08-12 21:10:40",
60,65,97,3,"2025-08-20 20:35:40",
61,106,69,2,"2025-11-30 00:47:40",
62,20,23,3,"2025-11-23 23:02:40",
63,104,28,3,"2025-10-07 15:18:40",
64,153,63,2,"2025-08-07 17:39:40",
65,54,66,3,"2025-12-18 07:50:40",
66,218,74,3,"2025-12-13 20:36:40",
67,147,66,3,"2025-11-22 02:58:40",
68,224,67,3,"2025-07-23 21:34:40",
69,193,71,1,"2025-12-19 21:38:40",
70,46,86,2,"2025-07-17 12:32:40",
71,135,32,3,"2025-10-31 17:42:40",
72,236,27,3,"2025-10-22 03:03:40",
73,66,69,1,"2025-09-20 11:30:40","Not worth the price."
74,237,22,3,"2025-08-12 21:32:40",
75,228,63,3,"2025-11-01 09:53:40",
76,202,94,3,"2025-10-19 10:25:40",
77,76,36,3,"2025-10-31 16:02:40",
78,38,96,4,"2025-11-12 10:47:40",
79,107,62,3,"2025-09-22 12:06:40","Average purchase, met expectations."
80,44,49,3,"2025-12-23 03:50:40","Okay quality, nothing special."
81,43,43,3,"2025-10-28 01:25:40",
82,169,32,3,"2025-12-18 01:09:40",
83,222,72,3,"2025-09-01 15:56:40","Okay quality, nothing special."
84,108,32,2,"2025-11-22 17:40:40","Arrived late and damaged."
85,76,46,3,"2025-07-31 14:14:40",
86,197,36,3,"2025-09-03 12:47:40",
87,143,11,2,"2025-08-05 00:00:40",
88,36,87,4,"2025-12-29 13:07:40","Excellent quality, arrived quickly."
89,191,93,3,"2025-10-21 01:19:40",
90,61,17,3,"2025-07-21 00:55:40",
91,213,81,2,"2025-12-21 05:46:40","Poor quality, would not recommend."
92,233,28,2,"2025-11-18 18:33:40",
93,93,44,3,"2025-07-17 18:32:40",
94,136,99,2,"2025-07-11 03:30:40",
95,151,75,4,"2026-01-04 19:02:40","Very satisfied with this purchase."
96,150,56,3,"2025-07-15 15:02:40",
97,227,59,3,"2025-12-01 03:19:40",
98,146,12,3,"2025-08-30 07:45:40",
99,54,34,3,"2025-12-25 00:00:40",
100,197,5,4,"2025-11-03 21:37:40",
101,23,61,4,"2025-07-20 06:38:40",
102,249,91,2,"2025-09-11 04:35:40",
103,128,60,4,"2025-11-05 22:22:40","Works perfectly as described."
104,49,18,3,"2025-11-04 07:48:40",
105,158,9,4,"2025-09-16 21:43:40",
106,216,77,4,"2025-12-27 09:06:40",
107,97,100,4,"2025-12-22 14:24:40",
108,32,85,5,"2025-10-16 03:13:40",
109,171,37,2,"2025-10-30 15:15:40",
110,37,84,3,"2025-07-30 14:56:40",
111,113,81,2,"2025-09-28 11:33:40","Not worth the price."
112,152,64,3,"2025-12-06 21:26:40",
113,28,51,4,"2025-09-20 04:30:40","Very satisfied with this purchase."
114,68,6,2,"2025-08-09 21:47:40",
